UserId,total,mean,median,avg_1week_rev,total_1week_rev
3228470,3039.73,276.34,153.0,276.0,828.0
3228501,29.19,29.19,29.19,29.19,29.19
3228503,40.0,40.0,40.0,40.0,40.0
3228532,200.0,50.0,40.0,75.0,150.0
3228563,25.58,25.58,25.58,25.58,25.58
3228630,17.05,17.05,17.05,17.05,17.05
3228655,17.82,17.82,17.82,17.82,17.82
3228691,130.0,43.33,40.0,43.333333333333336,130.0
3228838,400.0,28.57,30.0,35.0,35.0
3228866,30.0,30.0,30.0,30.0,30.0
3228926,44.34,22.17,22.17,23.02,23.02
3228958,35.0,35.0,35.0,35.0,35.0
3228974,100.0,100.0,100.0,100.0,100.0
3229028,17.05,17.05,17.05,17.05,17.05
3229141,102.86,51.43,51.43,17.05,17.05
3229150,20.0,20.0,20.0,20.0,20.0
3229180,17.05,17.05,17.05,17.05,17.05
3229210,20.0,20.0,20.0,20.0,20.0
3229232,3921.18,1307.06,425.28,1747.95,3495.9
3229255,60.0,20.0,20.0,20.0,20.0
3229282,375.0,62.5,47.5,30.0,30.0
3229300,17.82,17.82,17.82,17.82,17.82
3229452,1651.0,71.78,70.0,100.0,100.0
3229500,270.0,38.57,20.0,150.0,150.0
3229517,26.72,26.72,26.72,26.72,26.72
3229518,53.45,26.72,26.72,26.725,53.45
3229597,26.72,26.72,26.72,26.72,26.72
3229611,2100.0,525.0,400.0,950.0,1900.0
3229645,350.0,350.0,350.0,350.0,350.0
3229693,26.72,26.72,26.72,26.72,26.72
3229763,17.05,17.05,17.05,17.05,17.05
3229783,20.0,20.0,20.0,20.0,20.0
3229807,220.0,36.67,30.0,40.0,40.0
3229875,160.0,40.0,40.0,40.0,80.0
3229887,100.0,100.0,100.0,100.0,100.0
3229914,106.59,53.3,53.3,85.27,85.27
3229916,20.0,20.0,20.0,20.0,20.0
3229940,30.0,30.0,30.0,30.0,30.0
3229996,94.87,31.62,26.72,26.72,26.72
3230009,100.0,100.0,100.0,100.0,100.0
3230012,445.41,445.41,445.41,445.41,445.41
3230019,60.0,20.0,20.0,20.0,20.0
3230025,100.0,100.0,100.0,100.0,100.0
3230039,55.42,55.42,55.42,55.42,55.42
3230045,17.05,17.05,17.05,17.05,17.05
3230058,42.63,42.63,42.63,42.63,42.63
3230069,860.0,430.0,430.0,430.0,860.0
3230093,23.87,23.87,23.87,23.87,23.87
3230178,200.0,200.0,200.0,200.0,200.0
3230206,190.0,190.0,190.0,190.0,190.0
3230220,51.19,17.06,17.05,17.05,34.1
3230244,50.0,50.0,50.0,50.0,50.0
3230255,206.34,206.34,206.34,206.34,206.34
